"","Districte","Secció","MUNICIPALS","% MUNICIPALS","GENERALS","% GENERALS","PARLAMENT","% PARLAMENT","EUROPEES","% EUROPEES","MEDIA TRES","Dif. Promedio","Municipi","Edad media de la población","Porcentaje de población menor de 18 años","Porcentaje de población de 65 y más años","Tamaño medio del hogar","Porcentaje de hogares unipersonales","Población","Porcentaje de población española"
"1",1,1,46,7.42,137,18.07,85,11.24,74,12.8,14.04,6.62,"Terrassa",45.9,15.4,25.1,2.2,38.9,1329,91.7
"2",1,2,68,9.93,149,18.79,99,12.61,72,11.75,14.38,4.45,"Terrassa",42.9,18.7,19.6,2.5,30,1417,92.6
"3",1,4,96,10.14,256,22.76,179,16.3,148,17.25,18.77,8.63,"Terrassa",40.4,19.9,16,2.5,29.4,2121,92.5
"4",1,5,87,13.77,210,25.93,133,17.41,111,19.01,20.78,7.02,"Terrassa",42.2,19.7,19.1,2.6,30.7,1376,94.1
"5",1,6,77,10.72,202,22.1,117,13.34,104,15.36,16.93,6.21,"Terrassa",45,17.1,23.8,2.5,27.2,1495,96
"6",1,7,95,12.13,229,22.85,159,16.88,138,19.3,19.68,7.55,"Terrassa",45.4,14,22.8,2.4,32.1,1799,90.7
"7",1,8,60,10.1,125,18.22,96,14.48,84,15.88,16.19,6.09,"Terrassa",40.8,19.4,16.2,2.7,26.6,1245,89.8
"8",1,9,69,11,155,20.16,102,14.41,105,18.62,17.73,6.72,"Terrassa",41.5,19.9,17.4,2.6,28.5,1343,92.7
"9",1,10,91,15.17,198,26.94,141,19.97,126,22.42,23.11,7.94,"Terrassa",41.3,19.9,15.9,2.6,25.6,1311,93.4
"10",1,11,94,19.22,232,35.1,165,29,112,25.93,30.01,10.79,"Terrassa",42.3,16.7,18.8,2.6,25.1,1293,87.6
"11",1,12,114,18.45,293,36.17,217,29.32,184,30.82,32.1,13.66,"Terrassa",42.5,15,16.6,2.3,34,1589,83.5
"12",1,13,93,30.69,193,46.51,143,41.81,101,40.24,42.85,12.16,"Terrassa",40.9,19,15.3,2.5,29.3,940,81.9
"13",1,14,185,23.78,377,36.04,330,34.99,258,34.68,35.24,11.46,"Terrassa",44.8,16.3,23.7,2.6,28.4,2154,81
"14",1,15,98,19.68,251,38.03,162,28.37,141,31.26,32.55,12.88,"Terrassa",44.1,14.2,22.1,2.4,33,1170,85.6
"15",1,16,186,18.86,393,31.09,291,24.43,254,29.03,28.18,9.32,"Terrassa",45.5,14.8,23.7,2.4,30.9,2316,89.6
"16",1,17,112,12.1,336,28.09,217,19.22,209,24.11,23.81,11.71,"Terrassa",46.5,14.4,25.6,2.5,30.6,2062,92.1
"17",1,18,29,9.18,68,19.1,42,11.38,47,16.21,15.56,6.39,"Terrassa",42,19.3,18.7,2.8,25.9,641,94.4
"18",1,19,104,17.9,242,32.66,203,30.07,166,32.17,31.63,13.73,"Terrassa",42.5,17.7,20,2.4,30.1,1557,87.5
"19",1,20,125,17.63,242,28.27,177,22.63,150,23.62,24.84,7.21,"Terrassa",42.4,16.5,17,2.3,32.1,1549,91.4
"20",1,21,106,18.06,227,28.88,176,25.81,133,25.68,26.79,8.73,"Terrassa",45.1,14.9,23,2.4,30,1459,86.2
"21",1,22,115,14.74,316,30.59,211,22.3,215,28.33,27.07,12.33,"Terrassa",41.9,18.8,17.1,2.5,28.1,1912,91.2
"22",1,23,107,17.89,244,31.57,168,23.11,155,26.96,27.21,9.32,"Terrassa",42.4,21.2,17.4,2.5,24.4,1300,95.2
"23",1,24,38,8.9,104,20.76,63,12.91,54,14.03,15.9,7,"Terrassa",45.2,16.2,24.1,2.6,27.4,860,93.6
"24",1,25,53,8.36,187,25.51,108,14.98,106,19.45,19.98,11.62,"Terrassa",42.9,19.1,18.8,2.4,35.5,1396,89.1
"25",2,1,156,31.2,276,43.6,217,40.56,206,47.58,43.91,12.71,"Terrassa",39.7,21.9,16.7,2.9,24,2053,64.3
"26",2,3,146,40.22,246,49,166,45.86,139,49.64,48.17,7.95,"Terrassa",38.9,25.1,16.3,3.1,35,1416,60.2
"27",2,4,127,35.18,233,51.89,153,45.95,129,49.05,48.96,13.78,"Terrassa",37.1,25.7,12.7,3.3,23.9,1865,53.4
"28",2,5,124,30.62,225,43.95,177,42.45,152,46.2,44.2,13.58,"Terrassa",41.4,19,17,2.8,26.5,1452,69.6
"29",2,6,97,27.87,178,41.3,132,36.26,117,41.79,39.78,11.91,"Terrassa",39.8,22.2,15.8,3,25.6,1246,73.9
"30",2,8,104,29.13,200,41.49,136,36.86,100,42.37,40.24,11.11,"Terrassa",39.5,20.8,13.9,2.7,27.2,1252,77.6
"31",2,9,155,28.76,285,41.91,222,40.66,171,43.85,42.14,13.38,"Terrassa",39.4,21.6,15.5,2.8,23.8,1809,74.2
"32",2,11,94,24.35,211,41.45,170,41.46,120,40,40.97,16.62,"Terrassa",39.6,20.6,16,2.6,29.1,1309,81.9
"33",2,12,82,34.31,181,52.16,127,48.47,89,50.86,50.5,16.19,"Terrassa",33.6,30.7,7.8,3,29.5,1626,61
"34",2,14,144,22.36,346,37.49,245,33.02,175,35.5,35.33,12.97,"Terrassa",37.6,22.2,10,2.5,25.4,2128,88.4
"35",2,15,60,34.88,147,52.5,73,41.71,43,38.74,44.32,9.43,"Terrassa",40.8,21.3,17.4,2.7,22.8,729,95.5
"36",2,16,150,19.92,379,36.94,268,31.72,162,27.79,32.15,12.23,"Terrassa",34.5,26.4,6.1,2.7,21.2,2429,89.1
"37",2,17,121,21.49,342,43.85,228,35.96,174,38.67,39.49,18,"Terrassa",37.7,23.3,11.6,2.5,32.3,2268,83.9
"38",3,1,97,15.62,293,35.13,190,26.46,138,24.86,28.82,13.2,"Terrassa",42,18.8,17,2.5,27.5,1803,87
"39",3,2,113,19.19,301,39.97,210,31.63,192,37.8,36.47,17.28,"Terrassa",42.2,15.9,16.5,2.5,28.7,1447,85.6
"40",3,3,138,25.14,312,42.22,223,35.91,168,37.5,38.54,13.41,"Terrassa",41.1,19,16,2.5,28.7,1729,83.2
"41",3,4,83,22.43,211,37.61,152,36.02,130,40.75,38.13,15.7,"Terrassa",40.8,18.7,16.4,2.4,27.7,1366,82.3
"42",3,5,153,16.52,392,32.59,283,26.7,245,31.57,30.29,13.76,"Terrassa",38.4,21.6,12.4,2.3,34.9,2628,86.3
